Title,Price,Location,Bed,Bath,Area,Badges,Listing Time,Thumbnail
250 Sqyds Villa Is Available On Easy Installments,2.9 Crore,"Gulshan-e-Iqbal, Gulshan-e-Iqbal Town",4.0,4.0,250 Sq. Yd.,"['Hot badge', 'Trusted badge']",Added: 18 hours ago (Updated: 18 hours ago),https://media.zameen.com/thumbnails/203549197-400x300.webp
3 Bed D D Al Hamra Garden Bock 7 Gulshan-e-iqbal Near Sunday Bazar,1.2 Crore,"Gulshan-e-Iqbal - Block 7, Gulshan-e-Iqbal",3.0,3.0,150 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 1 week ago,https://media.zameen.com/thumbnails/202569126-400x300.webp
A Prime Location 1170 Square Feet Flat Has Landed On Market In Gulshan-e-Iqbal - Block 10-A Of Karachi,1.4 Crore,"Gulshan-e-Iqbal - Block 10-A, Gulshan-e-Iqbal",3.0,3.0,130 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 1 week ago,https://media.zameen.com/thumbnails/202307331-400x300.webp
300 yards Double Story Corner Bungalow for Sale,6 Crore,"Gulshan-e-Jamal, Gulshan-e-Iqbal Town",8.0,6.0,325 Sq. Yd.,['Hot badge'],Added: 9 hours ago,https://media.zameen.com/thumbnails/195808768-400x300.webp
Corner 1830 Square Feet Flat For sale Is Available In Gulshan-e-Iqbal - Block 11,1.4 Crore,"Gulshan-e-Iqbal - Block 11, Gulshan-e-Iqbal",,,203 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 18 hours ago,https://media.zameen.com/thumbnails/203043826-400x300.webp
Brand New Portion Available For Sale,4.25 Crore,"Bahadurabad, Gulshan-e-Iqbal Town",4.0,4.0,244 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 21 hours ago,https://media.zameen.com/thumbnails/196707080-400x300.webp
Portion Available For Sale Near 4 Minar Chowrangi,4.2 Crore,"Sharfabad, Gulshan-e-Iqbal Town",5.0,6.0,267 Sq. Yd.,"['Hot badge', 'Trusted badge', 'Verified badge']",Added: 21 hours ago,https://media.zameen.com/thumbnails/196838977-400x300.webp
3 Bed D/D Fully Renovated Apartment,1.1 Crore,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",3.0,3.0,139 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 22 hours ago,https://media.zameen.com/thumbnails/203373868-400x300.webp
2 Bed Fully Renovated Apartment,65 Lakh,"Gulshan-e-Iqbal - Block 13/D-2, Gulshan-e-Iqbal",2.0,2.0,83 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 22 hours ago,https://media.zameen.com/thumbnails/203372315-400x300.webp
A Perfect Prime Location Flat Awaits You In Gulshan-e-Iqbal - Block 4A Karachi,1.95 Crore,"Gulshan-e-Iqbal - Block 4A, Gulshan-e-Iqbal",,,167 Sq. Yd.,"['Hot badge', 'Verified badge']",Added: 2 days ago,https://media.zameen.com/thumbnails/199908785-400x300.webp
